"label_id";"label";"icon";"type"
"1";"chicken";"🐓";"protein"
"2";"beef";"🐄";"protein"
"3";"pork";"🐖";"protein"
"4";"fish";"🐟";"protein"
"5";"lamb";"🐑";"protein"
"6";"vegetarian";"🥦";"dietary"
"7";"vegan";"Ⓥ";"dietary"
"8";"breakfast";"🍳";"course"
"9";"drink";"🥤";"course"
"10";"soupstew";"🍜";"dish"
"11";"salad";"🥬";"dish"
"12";"appetizer";"🥟";"course"
"13";"sandwich";"🥪";"dish"
"14";"mexican";"🇲;🇽 ";"cuisine"
"15";"asian";"🥢";"cuisine"
"16";"middleeast";"";"cuisine"
"17";"dessert";"🍦";"course"
"18";"bread";"🍞";"dish"
"19";"vegetable";"🥕";"ingredient"
"20";"cookie";"🍪";"dish"
"21";"cake";"🎂";"dish"
"22";"candy";"🍬";"dish"
"23";"cheesecake";"";"dish"
"24";"creamcustard";"";"dish"
"25";"fruit";"🍏";"ingredient"
"26";"glutenfree";"Ⓖ";"dietary"
"27";"pasta";"🍝";"dish"
"28";"greek";"🇬;🇷 ";"cuisine"
"29";"spicy";"🌶️";"attribute"
"30";"quick";"⚡";"attribute"
"31";"shrimp";"🦐";"protein"
"32";"sauce";"";"dish"
"33";"rice";"🍚";"dish"
"34";"starchside";"";"dish"
"35";"side";"";"course"
"36";"main";"🍽️";"course"
"37";"turkey";"🦃";"protein"
"38";"batch";"⏰";"attribute"
"39";"lamp";"";""
"40";"sousvide";"🌡️";"preparation"
"41";"air fryer";"";"preparation"
"42";"soup";"🥣";"dish"
"43";"summer";"";""
"44";"sauces";"";"dish"
"45";"tofu";"";"protein"
"46";"eatsy";"";""
