"note_id";"recipe_id";"create_date";"note";"flagged"
"1";"1";"1663185487";"Added a test note to a recipe";"0"
"2";"4";"1662195487";"Flagged note";"1"
"3";"1";"1663195487";"Second note on a recipe";"0"
"4";"3";"1665000000";"Too much salt";"0"
"5";"5";"1667000000";"Loved this!";"1"
"6";"6";"1670000000";"Needs more chocolate chips";"0"
"7";"7";"1672000000";"Perfect for birthdays";"0"
"8";"9";"1674000000";"This is a long note with
multiple lines.

It has paragraphs and everything.
Tested line breaks.";"0"
"9";"10";"1676000000";"First time making this";"0"
"10";"10";"1678000000";"Much better the second time";"1"
"11";"10";"1678100000";"Now I've mastered it";"0"
"12";"15";"1678200000";"Kids love these";"0"
"13";"18";"1678300000";"Add extra parmesan";"0"
